,dp_opt,wopt,evecs,evals,evec_sim,dU,dp_diag,tdr_overall,pca,active,pair,snr1,snr2,cat_cat,tar_tar,cat_tar,ref_tar,ref_ref,ref_cat,aref_tar,aref_cat,aref_ref,f1,f2,DI,site,area
0,2.3270986,"[[0.67101272]
 [0.29270293]]","[[ 0.82271265  0.56845748]
 [-0.56845748  0.82271265]]",[8.11675804 2.89219861],0.34630728,[[ 3.5983951  -0.29883643]],1.8696638,False,False,False,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,1.9690723,"[[-0.40313673]
 [-0.46057891]]","[[ 0.99867532  0.05145484]
 [-0.05145484  0.99867532]]",[8.11504074 3.47930454],0.26635355,[[-3.15680619 -1.51211399]],1.968704,False,True,False,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,4.549562,"[[-1.69377827]
 [ 0.25001024]]","[[ 0.04839731 -0.99882816]
 [-0.99882816 -0.04839731]]",[4.64771358 1.43129865],0.39954302,[[-2.47593559  1.42344688]],4.5386314,True,False,True,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,4.3769445,"[[1.48459827]
 [0.62986529]]","[[ 0.53469598 -0.8450445 ]
 [-0.8450445  -0.53469598]]",[7.04434265 1.53812155],0.6614562,[[ 3.05352004 -0.24815782]],2.8007836,False,False,True,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,4.1289134,"[[ 0.02254785]
 [-1.59489683]]","[[ 0.98357003 -0.18052701]
 [ 0.18052701  0.98357003]]",[6.98619443 1.46974883],0.71374923,[[-1.40874   -2.6087441]],3.857365,False,True,True,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,4.0727973,"[[-1.49527836]
 [ 0.32590525]]","[[-0.03091337 -0.99952207]
 [-0.99952207  0.03091337]]",[4.66798476 1.63788428],0.6405482,[[-2.42290961  1.38038032]],4.069848,True,False,False,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,5.0302205,"[[1.53055293]
 [0.50175794]]","[[ 0.40873794 -0.91265179]
 [-0.91265179 -0.40873794]]",[7.45806179 1.87845254],0.81079066,[[3.25744698 0.08873916]],3.8432815,False,False,False,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,4.8711634,"[[-0.11222927]
 [-1.57207423]]","[[ 0.99936645 -0.03559076]
 [ 0.03559076  0.99936645]]",[7.42652831 1.89810845],0.81264025,[[-1.14181434 -3.0170447 ]],4.859658,False,True,False,REFERENCE_STIM_536,inf,inf,False,False,False,False,False,False,False,False,True,0,536,inf,CRD009b,A1
0,2.1496487,"[[-1.42865691]
 [-0.1648784 ]]","[[ 0.00442458 -0.99999021]
 [-0.99999021 -0.00442458]]",[4.45023805 0.99738859],0.49851733,[[-1.42250379 -0.71191105]],2.1495583,True,False,True,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,2.8821824,"[[1.49556019]
 [0.02326583]]","[[-0.03435911 -0.99940955]
 [-0.99940955  0.03435911]]",[6.7455956  1.27465203],0.415251,[[1.92034909 0.43775616]],2.8708549,False,False,True,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,2.5036418,"[[ 0.28827952]
 [-1.39005132]]","[[ 0.98841043 -0.15180522]
 [ 0.15180522  0.98841043]]",[6.68070208 1.22750204],0.5479227,[[ 0.75230023 -1.64509687]],2.3427296,False,True,True,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
0,1.730195,"[[-0.96801298]
 [ 0.024088  ]]","[[-0.06481943 -0.99789701]
 [-0.99789701  0.06481943]]",[4.5850424  1.84090158],0.07887368,[[-1.78890189 -0.06165515]],1.7237731,True,False,False,REFERENCE_STIM_616,inf,inf,False,False,False,False,False,False,False,False,True,0,616,inf,CRD009b,A1
